S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
230,"VAIKUNTH COLD STORAGE,Boriavi Bus Stand, Boriavi.",556,Privateÿ,Potatoesÿ,23.526342,72.361459
231,"RAGHUKUL COLD STORAGE,Opp. Shital Cold Storage,N.H.No. 8, Kanjari, Ta, Nadiad.",2040,Privateÿ,Potatoesÿ,23.526342,72.361459
232,"RADHAKISHAN COLD STORAGE,Kanjari.",5735,Privateÿ,Potatoesÿ,22.612367,72.917118
234,"MAHARANA PRATAP COLD STORAGE,Chaklashi.",3529,Privateÿ,Potatoesÿ,22.6006908,72.834958
235,"HARI OHM COLD STORAGE, Kheda.",1418,Privateÿ,Potatoesÿ,22.662773,72.945831
236,"YOGIRAJ COLD STORAGE,Nadiad.",1084,Privateÿ,Potatoesÿ,22.6980138,72.8567502
237,"SANDIP COLD STORAGE,Ajarpura.",2204,Privateÿ,Potatoesÿ,22.631277,72.978651
238,"KRISHNA COLD STORAGE,Kapadvanj.",2123,Privateÿ,Potatoesÿ,22.631277,72.978651
239,"SHRIJI KRUPA COLD STORAGEChar Rasta, At & PO Chaklashi,Nadiad - 387315.",3113,Privateÿ,Potatoesÿ,23.019699,73.078598
240,"CHANDRALOK COLD STORAGE,Samarkha, Sadanapura.",8058,Privateÿ,Potatoesÿ,22.5891066,72.9743621
241,NILAM COLD STORAGEVadi at Kasor.,2162,Privateÿ,Potatoesÿ,22.636346,73.003529
242,"SHREE KRISHNA COLD STORAGE,Ta.Kapadvanj-387620Navagam.",6300,Private,Potatoes,22.636346,73.003529
243,"GOPAL COLD STORAGE,Boriavi.",4800,Private,Potatoes,23.526342,72.361459
246,"MAHENDRA COLD STORAGE,Anand Bhalej Road, Samarkha. 388360Unit of Kirit Agro Foods Storage Pvt. Ltd",2800,Private,Potatoes,22.5891066,72.9743621
247,"MIRALI AGRO PRODUCTS,Chikhodra, Anand.",595,Private,Multipurpose,22.565972,72.99978
